Manufacturer,count
Dermajoint India,7
Septalyst Lifesciences Pvt.Ltd.,7
Wanbury Ltd,7
Maneesh Pharmaceuticals Ltd,7
Encore Pharmaceuticals Inc.,7
Fusion Healthcare Pvt Ltd,7
AN Pharmaceuticals Pvt Ltd,7
Suncare Formulations Pvt Ltd,7
Shine Pharmaceuticals Ltd,7
DWD Pharmaceuticals Ltd,7
Delvin Formulations Pvt Ltd,7
Sanstuti Pharmaceuticals Pvt Ltd,7
Medopharm,7
Swast Aushadhi Seva Generic Medicine Store,7
Torque Pharmaceuticals Pvt Ltd,7
Juggat Pharma,7
Innovcare Lifesciences Pvt Ltd,6
Dolvis Bio Pharma Pvt Ltd,6
CNX Healthcare Pvt Ltd,6
Neomedix Healthcare India Private Limited,6
Health N U Therapeutics Pvt Ltd,6
Zivira Labs Pvt Ltd,6
Zee Laboratories,6
Celsius Healthcare Pvt Ltd,6
Stedman Pharmaceuticals Pvt Ltd,6
Nexgen Rx Life Science Pvt Ltd,6
Mova Pharmaceutical Pvt Ltd,6
Aglowmed Limited,6
Karnataka Antibiotics & Pharmaceuticals Ltd,6
Alchem Phytoceuticals Ltd,6
Mercury Laboratories Ltd,6
Sanzyme Ltd,6
Precia Pharma,6
Akesiss Pharma Pvt Ltd,6
Prosaic Pharmaceuticals Pvt Ltd,6
Forman Medics Pvt Ltd,5
Winmark Pharmaceuticals Pvt Ltd,5
Makers Laboratories Ltd,5
Syscutis Healthcare,5
Athens Labs Ltd,5
Kee Pharma,5
Dabur India Ltd,5
Curatio Healthcare India Pvt Ltd,5
Eskag Pharma Pvt Ltd,5
Emcee Pharmaceuticals Pvt Ltd,5
Pharmanova India Drugs Pvt Ltd,5
Aksigen Hospital Care,5
Tidal Laboratories Pvt Ltd,5
Inga Laboratories Pvt Ltd,5
D D Pharmaceuticals,5
Aspen Pharma,5
Galcare Pharmaceutical Pvt Ltd,5
Cachet Pharmaceuticals Pvt Ltd,5
Biological E Ltd,5
Comed Chemicals Ltd,5
JNTL Consumer Health (India) Pvt. Ltd.,5
ZDL(Zodiacal) Pharmaceutics Pvt.Ltd,5
Nanz Med Science Pharma Ltd,5
Johnson & Johnson Ltd,5
TBG pharma ltd,4
Sol Derma Pharmaceuiticals Pvt Ltd,4
Signova Pharma Pvt Ltd,4
Optica Pharmaceuticals Pvt Ltd,4
Jupiter Biolabs Pvt Ltd,4
Scinticaa Pharma,4
Leben Life Sciences Pvt Ltd,4
Mesova Pharmaceuticals,4
Acme Generics LLP,4
Three Dots Lifescience,4
HiGlance Laboratories,4
Vivid Biotek Pvt Ltd,4
Veritaz Healthcare Ltd,4
Galpha Laboratories Ltd,4
Strides shasun Ltd,4
Jarun Pharmaceuticals,4
Cutis Dermacare,4
Yaher Pharma,4
MMC Healthcare Ltd,4
Mac Laboratories Ltd,4
Cadomed Pharmaceuticals Pvt Ltd,4
Meridian Enterprises Pvt Ltd,4
Organic Laboratories,4
Bioceutics Inc,4
Biokindle Lifesciences Pvt Ltd,4
Iceberg Healthcare Pvt Ltd,4
Themis Medicare Ltd,4
Wings Biotech Ltd,4
Somatico Pharmacal Pvt Ltd,4
SAF Fermion Ltd,4
UCB India Pvt Ltd,4
Adonis Laboratories Pvt Ltd,4
Megha Healthcare Pvt Ltd,3
Inex Medicaments Pvt Ltd,3
Connote Healthcare,3
LG Lifesciences,3
MRHM Pharma Pvt Ltd,3
Reliance Life Sciences,3
Synmedic Laboratories,3
Sanus Life Sciences,3
Fresenius Kabi India Pvt Ltd,3
Laxian Healthcare,3
Bennet Pharmaceuticals Limited,3
Ankaa Pharmaceutical,3
Nouveau Medicament Pvt Ltd,3
Ar-Ex Laboratories Pvt Ltd,3
Salsim Pharma Pvt Ltd,3
Elbrit Life Sciences,3
Unimarck Healthcare Ltd,3
BestoChem Formulations  India  Ltd,3
Rencord Life Sciences Pvt Ltd,3
Roche Products India Pvt Ltd,3
Gland Pharma Limited,3
Radicool Pharmaceutical Pvt Ltd,3
Sharing Formulations Pvt Ltd,3
Pure and Cure Healthcare Private Limited,3
Vanprom Lifesciences Pvt Ltd,3
Saphnix Life Sciences,3
Will Impex,3
Jay Ell Healthcare Pvt. Ltd,3
Vyonics Health Care Pvt Ltd,3
Aureate Healthcare Pvt Ltd,3
Galaxy Biotech,3
Rely on Pharmaceuticals,3
