Uses,count
Treatment of Hypertension (high blood pressure)Prevention of Heart attackPrevention of Stroke,20
Treatment of Allergic eye disease,20
Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections,20
Treatment of Erectile dysfunctionTreatment of Pulmonary arterial hypertension (PAH),20
 Osteoporosis,20
 Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,19
 Glaucoma Ocular hypertension,19
 Epilepsy/SeizuresPrevention of Migraine Bipolar disorder,19
Treatment of Severe bacterial infections,19
Treatment of Bacterial infections of urinary tract,19
 Ulcerative colitis Crohn’s disease,19
Treatment of Bacterial skin infections Bacterial eye infections,18
Treatment of Neuropathic painTreatment of Epilepsy/Seizures,18
Treatment of AnxietyTreatment of Skin conditions with inflammation & itching,18
Treatment of Resistance Tuberculosis (TB)Treatment of Bacterial infections,18
Treatment of Cough,18
 Cough with mucus,18
 Hormone replacement therapy,18
Treatment of NauseaTreatment of Vomiting,18
Treatment of DepressionTreatment of Panic disorderTreatment of Obsessive-compulsive disorder,17
Treatment of Depression Neuropathic painTreatment of Migraine,17
Treatment of Abdominal pain,17
Treatment of Nausea Vomiting,17
 Psoriasis,17
Treatment of Pancreatic enzyme deficiency,17
 Bleeding,16
 Sneezing and runny nose due to allergies,16
 Vitiligo Psoriasis,16
Treatment of Allergic skin conditions,16
Treatment of Parkinson's disease,16
 Female infertility,16
 Alzheimer's disease Stroke Dementia in Parkinson's disease Age related memory loss Head injury,16
Treatment of Rheumatoid arthritisTreatment of Systemic lupus erythematosus (SLE)Treatment of Type 2 diabetes mellitus,16
Prevention of Heart attack,15
 Depression Anxiety disorder,15
 Epilepsy/SeizuresPrevention of Migraine Lennox–Gastaut syndrome,15
Treatment of Liver  disease,15
 Hair loss,15
Treatment of Bacterial infectionsTreatment of Acne,15
 Stroke,14
Treatment of Female infertilityTreatment of Male hypogonadism,14
 Female infertility Male hypogonadism Male infertility,14
Treatment of Vitamin D deficiencyTreatment of Osteoporosis,14
 Acidity Stomach ulcers Bloating,13
 Breast cancer,13
 Herpes labialis Genital herpes infection Herpes zoster,13
Treatment of Inflammatory conditionsTreatment of Autoimmune conditionsTreatment of Cancer,13
 HIV infection,13
Treatment of Heavy menstrual bleedingTreatment of Menstrual pain,13
Treatment of Diabetes,13
 Dry cough,13
Treatment of Ocular hypertensionTreatment of Glaucoma,13
Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD),13
 Diarrhea Dysentery,13
Treatment of Piles,13
 Plaque psoriasis,12
Treatment of StrokeTreatment of Head injuryTreatment of Alzheimer's diseaseTreatment of Dementia in Parkinson's disease,12
Treatment of Anal fissure,12
Treatment of Premature LaborTreatment of Peripheral vascular disease,12
Treatment of Asthma,12
Treatment of Diarrhea,12
Treatment of Breast cancerTreatment of Infertility due to anovulation,12
Treatment of Heart failure,12
Treatment of Intestinal ulcersTreatment of Stomach ulcers,12
Treatment of Infectious diarrhea,12
 Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantationTreatment of Nephrotic syndrome,12
 Acute migraine headache,12
Treatment of Mouth infection,11
Treatment of Gastroesophageal reflux disease (Acid reflux),11
Treatment and prevention of Epilepsy/Seizures,11
Treatment of Premature ejaculation,11
Treatment of DepressionTreatment of Anxiety disorderTreatment of Diabetic nerve painTreatment of FibromyalgiaTreatment of Neuropathic painTreatment of Stress urinary incontinence,11
 Gastroesophageal reflux disease (Acid reflux) Irritable bowel syndrome Heartburn,11
Treatment of GoutTreatment of Kidney stone,11
 Vitiligo,11
 Prostate cancer,11
 High phosphate levels in blood,11
 Chronic hepatitis B virus (HBV) infection,11
Treatment of Malaria,11
 Ocular hypertension Glaucoma,11
Prevention of Asthma,11
Treatment of pelvic pain associated with Endometriosis,10
 Parkinson's disease,10
 Acidity Heartburn Stomach ulcers,10
 Hyperthyroidism,10
 Benign prostatic hyperplasia,10
 Common cold,10
 Diarrhea,10
 Prevention of Rabies,10
Treatment of Irritable bowel syndrome,10
 Allergic conditions,10
 Heavy menstrual bleeding,10
Treatment of Angina (heart-related chest pain)Treatment of Heart failure,10
 Pulmonary arterial hypertension (PAH),10
 Post-operative eye pain and inflammation,10
 Severe fungal infections,9
Treatment of Hypertension (high blood pressure)Treatment of EdemaTreatment of Heart failure,9
Treatment of InsomniaTreatment of Jet lag,9
