Uses,count
 Acidity Indigestion,1
 Potassium deficiency,1
 Multiple myeloma,1
 Clostridium difficile associated diarrhea,1
 Respiratory tract infection,1
 Treatment of Rabies,1
Treatment of Dry mouth,1
Treatment of Varicose veins,1
Prevention of Polio,1
Treatment of Skin conditions with inflammation & itchingTreatment of Intestinal ulcersTreatment of Stomach ulcers,1
Treatment of Fibrocystic Breast Disease,1
 Burns Wound infection,1
 Respiratory tract disorders associated with viscid mucus,1
Treatment of AnxietyTreatment of NauseaTreatment of VomitingTreatment of MigraineTreatment of VertigoTreatment of Short term anxiety,1
 Cancer of colon and rectum Non-small cell lung cancer Kidney cancer Brain tumor Ovarian cancer Cervical cancer,1
 Appetite stimulantTreatment of Allergic skin conditions,1
Treatment of Duchenne muscular dystrophy(DMD)Treatment of Inflammatory conditionsTreatment of Autoimmune conditionsTreatment of Cancer,1
Treatment of Short term fluid replacement after traumaTreatment of Dehydration,1
Treatment of Localized muscle spasm,1
Treatment of Dental pain,1
 Blood cancer (Chronic myeloid leukaemia),1
Treatment of Muscle cramps,1
 Menopausal symptoms,1
 Swelling,1
Treatment and prevention of Angina (heart-related chest pain)Treatment and prevention of Heart attackTreatment and prevention of Stroke,1
 Bacterial infections of the vagina (bacterial vaginosis),1
 Nausea Vomiting,1
 Rosacea,1
 Growth failure due to growth hormone deficiency,1
 Hypotension following spinal anesthesia,1
Treatment of Muscle pain,1
Treatment of Vitamin E deficiency,1
 Pupil dilation,1
 Metastatic breast cancer,1
 Actinic keratosis,1
 Benzodiazepine overdose,1
Treatment of Interstitial cystitis,1
 Severe allergic reactionsTreatment of Skin conditions with inflammation & itching,1
Treatment of Hair lossTreatment of Benign prostatic hyperplasia,1
 Fibromyalgia Depression,1
Treatment of Anemia due to folic acid deficiency,1
Prevention of HPV-associated cancersPrevention of Genital warts (Skin bumps on or around the genital or anal area),1
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of IndigestionTreatment of NauseaTreatment of Vomiting,1
Treatment of BloatingTreatment of Abdominal pain,1
 Acromegaly Carcinoid tumours Bleeding esophageal varices,1
Treatment of Abnormal uterine bleedingTreatment of Endometriosis,1
Treatment of Syndromic treatment of vaginal discharge,1
 Fatigue Alzheimer's disease,1
 Nausea and vomiting in pregnancy,1
 Worm infections Intestinal amoebiasis,1
 Acidity Heartburn Anxiety,1
Treatment of Abdominal cramp,1
 Ear infection,1
 Amyotrophic lateral sclerosis (ALS),1
Treatment of Potassium deficiency,1
 Herpes Simplex Virus Infections Chickenpox Shingles Herpes labialis Genital herpes infection,1
Treatment of Uveitis,1
 Infantile spasms,1
Treatment of Inflammatory conditionsTreatment of Autoimmune conditions,1
Treatment of Patent ductus arteriosus (PDA),1
 Muscle pain,1
 Blood clots,1
 Organophosphate poisoning,1
Treatment of Severe fungal infectionsTreatment of Leishmaniasis.,1
Treatment of Nasal allergy symptomsTreatment and prevention of Motion sicknessTreatment of Insomnia,1
 Infectious diarrhea,1
 Closure of surgical incisions,1
 Tetanus Diphtheria Pertussis,1
 Prevention of Hepatitis A infection,1
 Gout,1
Treatment of Bacterial eye infectionsTreatment of Post operative pain,1
 Bloating Abdominal pain,1
 Severe hypoglycemia,1
 Non-small cell lung cancer Breast cancer Pancreatic cancer Urinary bladder cancer Ovarian cancer,1
 Calcium deficiency,1
Prevention of Wound infection,1
 Gastroesophageal reflux disease (Acid reflux),1
 Abdominal pain Irritable bowel syndrome,1
 Constipation Bloating,1
Treatment of Diabetes insipidusTreatment of Bed-wetting,1
 Reversing the effects of certain drugs used during surgery,1
 Seizures in pregnant women with high blood pressure Decreased magnesium levels in blood,1
 Contraception Heavy menstrual bleeding,1
Treatment of Hypertensive emergencyTreatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackTreatment of Migraine,1
Treatment of Schizophrenia,1
 Depression Anxiety,1
 Low blood pressure,1
 Bacterial eye / ear infections,1
 Subarachnoid haemorrhage,1
 Raynaud's diseaseTreatment and prevention of Migraine,1
Treatment of Fungal infections of eye,1
Treatment of Infective DiarrheaTreatment of Worm infections,1
 Ear infectionTreatment of Fungal infections,1
 Infertility,1
Treatment of NauseaTreatment of VomitingTreatment of Diarrhea,1
 Emergency contraception,1
 Overactive bladder (OAB) symptomsPrevention of Migraine Cervical Dystonia Muscle spasm,1
 Liver cancer Kidney cancer Thyroid cancer,1
 Eczema,1
 Nutritional deficiencies Vitamin B12 deficiency,1
Prevention of Meningococcal disease,1
 AcneTreatment of Bacterial infectionsTreatment of Parasitic infections,1
Treatment of Vitamin & mineral deficiency,1
 Chronic hepatitis B virus (HBV) infection Chronic hepatitis C virus (HCV) infection Multiple myeloma Follicular lymphoma Hairy cell leukemia,1
Treatment of Peptic ulcer diseaseTreatment of Irritable bowel syndrome Pain relief,1
 Leprosy,1
Treatment of Menstrual pain,1
 Allergic skin conditions,1
 Diphtheria Haemophilus influenzae Type b disease Pertussis Tetanus Polio,1
Treatment of Eye injury,1
 Wrinkles,1
 Chronic hepatitis C virus (HCV) infection,1
Treatment and prevention of Calcium deficiency,1
 Genital warts (Skin bumps on or around the genital or anal area) Actinic keratosis Basal cell cancer,1
Treatment of BradycardiaTreatment of Cardiac arrest,1
 Iron deficiency anemia Anemia due to chronic kidney disease,1
 Multiple myeloma Mantle-cell lymphoma,1
 Prevention of Japanese Encephalitis,1
Treatment of Dental cavities,1
Treatment of Hypertensive emergencyTreatment of Edema,1
Treatment of Functional dyspepsiaTreatment of NauseaTreatment of VomitingTreatment of Diabetic gastroparesis (diabetic nerve disease affecting stomach),1
Treatment of Calcium deficiencyTreatment of Metabolic Bone disease,1
 Constipation Irritable bowel syndrome,1
Treatment of AmoebiasisTreatment of Malaria,1
Treatment of Hypertensive emergency,1
 Eye infectionTreatment of Inflammatory conditionsTreatment of Autoimmune conditions,1
 Inflammation of gums Mouth ulcers Mouth infection,1
Treatment of Inflammation of gums Local anesthesia (Numb tissues in a specific area),1
 Blood cancer (Acute lymphocytic leukemia),1
